time,display_window,no_ai_output,ai_output,no_ai_capital,ai_capital,no_ai_consumption,ai_consumption,ai_capability,ai_shadow_value,ai_inference_compute,ai_research_compute,ai_services,no_ai_output_pc_index,ai_output_pc_index,no_ai_consumption_pc_index,ai_consumption_pc_index,no_ai_wage_index,ai_wage_index,no_ai_output_pc_growth,ai_output_pc_growth,no_ai_net_interest,ai_net_interest,ai_bgp_net_interest,ai_capability_index,ai_capability_growth,ai_shadow_capability_to_output,no_ai_gross_capital_share,no_ai_labor_share,ai_gross_capital_share,ai_labor_share,ai_inference_share,ai_research_share,ai_profit_share,ai_log_capital_deviation,ai_log_capability_deviation,ai_log_consumption_deviation,ai_log_shadow_deviation
0.0,1.0,1.8004765233646332,1.8004765233646332,5.94157252710329,5.94157252710329,1.426157454157126,1.3938746702962894,30.931639528217275,0.028205651402664417,0.032329356453535345,1.1529444877829868e-05,1.0000000000000002,1.0,1.0,1.0,0.9773638010538492,1.0,0.7999999999999999,0.01,0.010006497756669716,0.05,0.04999999999999999,0.050866666666666664,0.9999999999999999,6.607532792728523e-05,0.48456451973913545,0.33,0.6699999999999999,0.33,0.5359999999999999,0.017955999999999996,6.4035519087381736e-06,0.11603759644809124,1.0750550907714378,4.244451729350565,1.0682202427759822,-3.1072583040595383
0.5,1.0,1.8122177383764595,1.812223849525504,5.980318536642317,5.980291167557315,1.4354576705679938,1.402964646151601,30.93266226789838,0.028388607751787205,0.03254029144207995,1.1623099008343393e-05,1.0065578452768429,1.005012520859401,1.0050159099561835,1.005012520859401,0.9822630542268228,1.005012520859401,0.8040127279649469,0.01,0.010006987230057773,0.05,0.05000079487562589,0.050866666666666664,1.0000330645157094,6.618057674172501e-05,0.48456222230592444,0.33,0.6699999999999999,0.33,0.5359999999999999,0.017955999999999996,6.4137214679007104e-06,0.11603758627853208,1.074617180901343,4.242751459986322,1.0677871097280884,-3.105992737084796
1.0,1.0,1.8240355198573097,1.8240482581202955,6.019317215529123,6.019265769583633,1.444818535278975,1.4121144492894282,30.933686670576208,0.028572759158250458,0.03275261052280802,1.1717518308347693e-05,1.0131589915559605,1.010050167084168,1.0100572208309384,1.010050167084168,0.9871872492079804,1.010050167084168,0.8080457766647507,0.01,0.01000745459247027,0.05,0.050001553050104786,0.050866666666666664,1.000066182795033,6.628599540366674e-05,0.4845599754175287,0.33,0.6699999999999999,0.33,0.5359999999999999,0.017955999999999996,6.423908060646785e-06,0.11603757609193933,1.0741798772607525,4.241051243288947,1.0673543648673045,-3.1047268793280236
1.5,1.0,1.8359303671102085,1.8359502379699246,6.058570211463689,6.05849787705326,1.4542404437879963,1.4213244515630667,30.934712739041007,0.028758113020284196,0.03296632247298796,1.1812708828434889e-05,1.0198037157644746,1.015113064615719,1.0151240515080675,1.015113064615719,0.9921364970989468,1.015113064615719,0.8120992412064539,0.01,0.010007900903660535,0.05,0.05000227627788752,0.050866666666666664,1.0000993549281771,6.639158391993742e-05,0.4845577765675476,0.33,0.6699999999999999,0.33,0.5359999999999999,0.017955999999999996,6.43411165734896e-06,0.11603756588834263,1.0737431515118907,4.2393510793433675,1.0669219902857512,-3.103460746830571
2.0,1.0,1.847902782694223,1.8479302817063363,6.098079182890936,6.097989049267305,1.4637237941720942,1.4305950280478141,30.93574047608355,0.028944676798254187,0.03318143613831897,1.1908676674807958e-05,1.0264922969987755,1.0202013400267558,1.0202165218476122,1.0202013400267558,0.9971109101738065,1.0202013400267558,0.8161732174780898,0.01,0.01000832717255213,0.05,0.050002966229721696,0.050866666666666664,1.000132581005366,6.64973423085179e-05,0.48455562336913144,0.33,0.6699999999999999,0.33,0.5359999999999999,0.017955999999999996,6.4443322308738615e-06,0.1160375556677691,1.0733069766707428,4.2376509682345125,1.0664899689314795,-3.102194354871318
2.5,1.0,1.8599532724456918,1.859988885771896,6.137845799070783,6.13774086083609,1.4732689871042326,1.439926557029197,30.936769884495785,0.029132458014469908,0.033397960432920155,1.2005428009470843e-05,1.033225016524746,1.0253151205244289,1.0253347526745427,1.0253151205244289,1.0021106018586574,1.0253151205244289,0.8202678021396342,0.01,0.010008734359685589,0.05,0.05000362449663827,0.050866666666666664,1.0001658611168616,6.660327059709132e-05,0.4845535135492842,0.33,0.6699999999999999,0.33,0.5359999999999999,0.017955999999999996,6.454569756468511e-06,0.11603754543024351,1.0728713270425123,4.235950910047325,1.066058284567659,-3.1009277180030383
3.0,1.0,1.8720823454995996,1.8721265504198346,6.177871740148679,6.177754901566707,1.482876425870233,1.4493194199924846,30.93780096707082,0.029321464253015926,0.033615904339338545,1.2102969050430376e-05,1.0400021577785483,1.030454533953517,1.0304788657680808,1.030454533953517,1.0071356867121914,1.030454533953517,0.8243830926144647,0.01,0.01000912337955084,0.05,0.05000425259374859,0.050866666666666664,1.0001991953529628,6.670936883118204e-05,0.4845514449434293,0.33,0.6699999999999999,0.33,0.5359999999999999,0.017955999999999996,6.464824211651835e-06,0.11603753517578833,1.0724361781601452,4.234250904866768,1.065626921733705,-3.099660850087028
3.5,1.0,1.8842905143110866,1.8843437797157045,6.2181586972265865,6.218032776358611,1.4925465163858118,1.4587740016134318,30.938833726603008,0.029511703159605624,0.033835276908575185,1.2201306071909895e-05,1.046824006367978,1.0356197087996233,1.0356489838516392,1.0356197087996233,1.0121862804072566,1.0356197087996233,0.8285191870813113,0.01,0.010009495102801105,0.05,0.05000485196386163,0.050866666666666664,1.0002325838040096,6.681563705341438e-05,0.4845494154902341,0.33,0.6699999999999999,0.33,0.5359999999999999,0.017955999999999996,6.475095576111242e-06,0.11603752490442387,1.0720015067257789,4.232550952777821,1.0651958657082572,-3.0983937643260897
4.0,1.0,1.896578294677102,1.8966410815398236,6.258708372434437,6.258576105107052,1.5022796672137326,1.4682906897502224,30.93986816588821,0.029703182441456685,0.03405608726012906,1.2300445404574127e-05,1.0536908500743782,1.0408107741923882,1.0408452305833433,1.0408107741923882,1.0172624997133655,1.0408107741923882,0.8326761844666747,0.01,0.010009850358366722,0.05,0.05000542398092897,0.050866666666666664,1.0002660265603907,6.692207532929843e-05,0.4845474232266855,0.33,0.6699999999999999,0.33,0.5359999999999999,0.017955999999999996,6.485383831603911e-06,0.11603751461616837,1.071567290554978,4.230851053865497,1.0647651024739182,-3.0971264732959485
4.5,1.0,1.908946205758194,1.9090189675906557,6.29952247900204,6.299386522613915,1.5120762895810655,1.4778698754365462,30.94090428772389,0.02989590986718733,0.03427834458205781,1.2400393435765066e-05,1.0606029788550693,1.046027859908717,1.046067730547116,1.046027859908717,1.0223644624801016,1.046027859908717,0.8368541844376928,0.01,0.01001018993545855,0.05,0.05000596995332639,0.050866666666666664,1.0002995237125454,6.702868372357278e-05,0.484545466283397,0.33,0.6699999999999999,0.33,0.5359999999999999,0.017955999999999996,6.495688961862656e-06,0.11603750431103811,1.0711335085236238,4.229151208214838,1.0643346186836726,-3.0958589889751695
5.0,1.0,1.921394770100445,1.9214779533891166,6.340602741331469,6.340465678505788,1.5219367973965625,1.487511952875793,30.941942094909226,0.03008989326673265,0.034502058131054975,1.2501156609748713e-05,1.067560684846295,1.0512710963760241,1.0513166092443023,1.0512710963760241,1.0274922876213963,1.0512710963760241,0.8410532873954418,0.01,0.010010514585481974,0.05,0.05000649112697973,0.050866666666666664,1.0003330753509703,6.713546231401895e-05,0.48454354288013873,0.33,0.6699999999999999,0.33,0.5359999999999999,0.017955999999999996,6.50601095250616e-06,0.11603749398904747,1.0707001405173298,4.227451415910921,1.0639044016289045,-3.094591322773652
5.5,1.0,1.933924513657551,1.9340185582838998,6.381950895069918,6.381815237160143,1.5318616072681461,1.4972173194364777,30.942981590245314,0.03028514053128353,0.0347272372325457,1.2602741427973816e-05,1.074564262366743,1.0565406146754943,1.0565919930858862,1.0565406146754943,1.0326460951007514,1.0565406146754943,0.845273594468709,0.01,0.010010825019731287,0.05,0.050006988688330076,0.050866666666666664,1.0003666815662224,6.724241118616185e-05,0.48454165132159877,0.33,0.6699999999999999,0.33,0.5359999999999999,0.017955999999999996,6.516349790953674e-06,0.11603748365020902,1.0702671673834596,4.225751677038865,1.0634744392090552,-3.0933234855596634
6.0,1.0,1.9465359658130401,1.9466413054579634,6.423568687183033,6.423436877640868,1.5418511385205091,1.5069863756491029,30.944022776535355,0.03048165961325156,0.03495389128080319,1.2705154449344801e-05,1.0816140079217145,1.0618365465453596,1.0618940093853708,1.0618365465453596,1.0378260059175397,1.0618365465453596,0.8495152075082967,0.01,0.010011121915336856,0.05,0.05000746376713189,0.050866666666666664,1.0004003424489278,6.734953043309282e-05,0.48453978999338687,0.33,0.6699999999999999,0.33,0.5359999999999999,0.017955999999999996,6.5267054663446635e-06,0.11603747329453364,1.0698345708858499,4.224051991683836,1.063044719902999,-3.0920554876853403
